Time_ns,rmsd,rg,sasa,hbonds,ligand_rmsd
52.500,0.110317,,,,
57.500,0.120182,,,,
62.500,0.120387,,,,
67.500,0.127918,,,,
72.500,0.118653,,,,
77.500,0.111640,,,,
82.500,0.115267,,,,
87.500,0.117339,,,,
92.500,0.157874,,,,
97.500,0.129872,,,,
102.500,0.109640,,,,
107.500,0.111578,,,,
112.500,0.113814,,,,
117.500,0.115272,,,,
122.500,0.118405,,,,
127.500,0.137106,,,,
132.500,0.133060,,,,
137.500,0.147320,,,,
142.500,0.138585,,,,
147.500,0.131171,,,,
52.499,,1.699343,,,
57.499,,1.703975,,,
62.499,,1.704361,,,
67.499,,1.699465,,,
72.499,,1.694610,,,
77.499,,1.694620,,,
82.499,,1.696225,,,
87.499,,1.695571,,,
92.499,,1.692330,,,
97.499,,1.697050,,,
102.499,,1.696732,,,
107.499,,1.692425,,,
112.499,,1.693046,,,
117.499,,1.695884,,,
122.499,,1.699563,,,
127.499,,1.707530,,,
132.500,,1.706922,,,
137.500,,1.706241,,,
142.500,,1.708718,,,
147.500,,1.707965,,,
52.499,,,106.029559,,
57.499,,,107.457456,,
62.499,,,107.878343,,
67.499,,,107.910264,,
72.499,,,107.238033,,
77.499,,,106.007485,,
82.499,,,106.905672,,
87.499,,,106.495668,,
92.499,,,106.611805,,
97.499,,,107.512261,,
102.499,,,107.770704,,
107.499,,,106.762929,,
112.499,,,107.219444,,
117.499,,,107.245585,,
122.499,,,107.437896,,
127.499,,,109.172273,,
132.500,,,109.287439,,
137.500,,,110.338777,,
142.500,,,110.488772,,
147.500,,,109.454267,,
52.499,,,,0.905200,
57.499,,,,0.872800,
62.499,,,,0.908600,
67.499,,,,0.839800,
72.499,,,,0.854200,
77.499,,,,0.765000,
82.499,,,,0.594000,
87.499,,,,0.460800,
92.499,,,,0.800400,
97.499,,,,0.805000,
102.499,,,,0.794800,
107.499,,,,0.811800,
112.499,,,,0.813000,
117.499,,,,0.721600,
122.499,,,,0.503400,
127.499,,,,0.005000,
132.500,,,,0.000800,
137.500,,,,0.004600,
142.500,,,,0.000600,
147.500,,,,0.003600,
52.499,,,,,0.141289
57.499,,,,,0.135870
62.499,,,,,0.119950
67.499,,,,,0.130983
72.499,,,,,0.122044
77.499,,,,,0.120559
82.499,,,,,0.118064
87.499,,,,,0.137654
92.499,,,,,0.119853
97.499,,,,,0.118167
102.499,,,,,0.126324
107.499,,,,,0.139423
112.499,,,,,0.133432
117.499,,,,,0.139767
122.499,,,,,0.132201
127.499,,,,,0.135339
132.500,,,,,0.145621
137.500,,,,,0.140031
142.500,,,,,0.143530
147.500,,,,,0.146671
