Time_ns,rmsd,rg,sasa,hbonds,ligand_rmsd
52.500,0.176820,,,,
57.500,0.174061,,,,
62.500,0.186621,,,,
67.500,0.186532,,,,
72.500,0.182561,,,,
77.500,0.183971,,,,
82.500,0.204978,,,,
87.500,0.199183,,,,
92.500,0.220086,,,,
97.500,0.210588,,,,
102.500,0.215748,,,,
107.500,0.212925,,,,
112.500,0.216448,,,,
117.500,0.205860,,,,
122.500,0.210982,,,,
127.500,0.211855,,,,
132.500,0.208289,,,,
137.500,0.193242,,,,
142.500,0.213776,,,,
147.500,0.219674,,,,
52.499,,1.711200,,,
57.499,,1.714188,,,
62.499,,1.716202,,,
67.499,,1.714189,,,
72.499,,1.716536,,,
77.499,,1.717093,,,
82.499,,1.714208,,,
87.499,,1.718522,,,
92.499,,1.714271,,,
97.499,,1.714988,,,
102.499,,1.712800,,,
107.499,,1.711233,,,
112.499,,1.714604,,,
117.499,,1.716618,,,
122.499,,1.721283,,,
127.499,,1.718721,,,
132.500,,1.715983,,,
137.500,,1.716791,,,
142.500,,1.716613,,,
147.500,,1.713247,,,
52.499,,,110.014820,,
57.499,,,110.420081,,
62.499,,,110.924389,,
67.499,,,110.886168,,
72.499,,,110.492581,,
77.499,,,111.245664,,
82.499,,,111.088158,,
87.499,,,111.355547,,
92.499,,,111.276828,,
97.499,,,110.716739,,
102.499,,,110.436229,,
107.499,,,110.664550,,
112.499,,,110.676639,,
117.499,,,110.442008,,
122.499,,,112.313077,,
127.499,,,112.200427,,
132.500,,,112.164429,,
137.500,,,111.359923,,
142.500,,,110.890242,,
147.500,,,110.339207,,
52.499,,,,3.815200,
57.499,,,,3.790600,
62.499,,,,3.728800,
67.499,,,,3.857000,
72.499,,,,3.791000,
77.499,,,,3.806600,
82.499,,,,3.850400,
87.499,,,,3.983000,
92.499,,,,4.003200,
97.499,,,,3.928000,
102.499,,,,3.944600,
107.499,,,,3.973800,
112.499,,,,3.841400,
117.499,,,,2.672800,
122.499,,,,1.995600,
127.499,,,,2.011400,
132.500,,,,2.004000,
137.500,,,,2.002800,
142.500,,,,2.003000,
147.500,,,,1.662600,
52.499,,,,,0.072698
57.499,,,,,0.074475
62.499,,,,,0.071980
67.499,,,,,0.078550
72.499,,,,,0.074599
77.499,,,,,0.073624
82.499,,,,,0.078988
87.499,,,,,0.073533
92.499,,,,,0.074319
97.499,,,,,0.075690
102.499,,,,,0.073698
107.499,,,,,0.073100
112.499,,,,,0.080001
117.499,,,,,0.064084
122.499,,,,,0.071008
127.499,,,,,0.073511
132.500,,,,,0.074307
137.500,,,,,0.069615
142.500,,,,,0.068503
147.500,,,,,0.069079
