Time_ns,rmsd,rg,sasa,hbonds,ligand_rmsd
52.500,0.130953,,,,
57.500,0.117025,,,,
62.500,0.120346,,,,
67.500,0.133821,,,,
72.500,0.131394,,,,
77.500,0.125995,,,,
82.500,0.135700,,,,
87.500,0.147465,,,,
92.500,0.152475,,,,
97.500,0.143296,,,,
102.500,0.124879,,,,
107.500,0.109910,,,,
112.500,0.112071,,,,
117.500,0.114349,,,,
122.500,0.121145,,,,
127.500,0.120169,,,,
132.500,0.121524,,,,
137.500,0.120467,,,,
142.500,0.111560,,,,
147.500,0.113938,,,,
52.499,,1.692005,,,
57.499,,1.693384,,,
62.499,,1.697873,,,
67.499,,1.696922,,,
72.499,,1.697001,,,
77.499,,1.693835,,,
82.499,,1.690177,,,
87.499,,1.687627,,,
92.499,,1.687732,,,
97.499,,1.688178,,,
102.499,,1.689931,,,
107.499,,1.691679,,,
112.499,,1.691168,,,
117.499,,1.689856,,,
122.499,,1.688504,,,
127.499,,1.686185,,,
132.500,,1.687457,,,
137.500,,1.688147,,,
142.500,,1.689190,,,
147.500,,1.690400,,,
52.499,,,105.570547,,
57.499,,,105.173198,,
62.499,,,104.700586,,
67.499,,,106.623763,,
72.499,,,106.168492,,
77.499,,,105.469161,,
82.499,,,105.077817,,
87.499,,,105.089992,,
92.499,,,104.819202,,
97.499,,,104.398350,,
102.499,,,105.224684,,
107.499,,,104.284939,,
112.499,,,104.554963,,
117.499,,,103.923350,,
122.499,,,104.610672,,
127.499,,,103.871174,,
132.500,,,103.654928,,
137.500,,,102.557181,,
142.500,,,103.349787,,
147.500,,,103.377662,,
52.499,,,,0.801800,
57.499,,,,0.863200,
62.499,,,,0.872400,
67.499,,,,0.854000,
72.499,,,,0.858800,
77.499,,,,0.829800,
82.499,,,,0.840600,
87.499,,,,0.865200,
92.499,,,,0.884000,
97.499,,,,0.836200,
102.499,,,,0.824600,
107.499,,,,0.805200,
112.499,,,,0.801200,
117.499,,,,0.774400,
122.499,,,,0.821800,
127.499,,,,0.824600,
132.500,,,,0.777600,
137.500,,,,0.796000,
142.500,,,,0.797800,
147.500,,,,0.823000,
52.499,,,,,0.117818
57.499,,,,,0.116957
62.499,,,,,0.122455
67.499,,,,,0.111874
72.499,,,,,0.114590
77.499,,,,,0.112316
82.499,,,,,0.113483
87.499,,,,,0.111318
92.499,,,,,0.111129
97.499,,,,,0.109158
102.499,,,,,0.116618
107.499,,,,,0.119741
112.499,,,,,0.136639
117.499,,,,,0.120171
122.499,,,,,0.130309
127.499,,,,,0.121259
132.500,,,,,0.111131
137.500,,,,,0.109081
142.500,,,,,0.110895
147.500,,,,,0.113699
